opor_co_no,opor_no,query_opor_no,opor_pwd,co_no,pd_no,exch_group_no,asset_acco_no,order_batch_no
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410001,41410001,41410001,0001
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410002,41410002,41410002,0002
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410003,41410003,41410003,0003
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410004,41410004,41410004,0004
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410005,41410005,41410005,0005
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410006,41410006,41410006,0006
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410007,41410007,41410007,0007
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410008,41410008,41410008,0008
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410009,41410009,41410009,0009
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410010,41410010,41410010,0010
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410011,41410011,41410011,0011
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410012,41410012,41410012,0012
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410013,41410013,41410013,0013
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410014,41410014,41410014,0014
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410015,41410015,41410015,0015
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410016,41410016,41410016,0016
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410017,41410017,41410017,0017
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410018,41410018,41410018,0018
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410019,41410019,41410019,0019
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410020,41410020,41410020,0020
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410021,41410021,41410021,0021
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410022,41410022,41410022,0022
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410023,41410023,41410023,0023
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410024,41410024,41410024,0024
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410025,41410025,41410025,0025
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410026,41410026,41410026,0026
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410027,41410027,41410027,0027
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410028,41410028,41410028,0028
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410029,41410029,41410029,0029
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410030,41410030,41410030,0030
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410031,41410031,41410031,0031
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410032,41410032,41410032,0032
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410033,41410033,41410033,0033
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410034,41410034,41410034,0034
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410035,41410035,41410035,0035
