opor_co_no,opor_no,opor_pwd,co_no,pd_no,exch_group_no,asset_acco_no_str
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410001,41410001,41410001;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410002,41410002,41410002;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410003,41410003,41410003;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410004,41410004,41410004;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410005,41410005,41410005;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410006,41410006,41410006;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410007,41410007,41410007;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410008,41410008,41410008;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410009,41410009,41410009;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410010,41410010,41410010;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410011,41410011,41410011;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410012,41410012,41410012;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410013,41410013,41410013;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410014,41410014,41410014;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410015,41410015,41410015;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410016,41410016,41410016;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410017,41410017,41410017;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410018,41410018,41410018;
